"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"113"," Handelsvermittlung und Grosshandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","451101","45","4",10,7,-30,"-2"
"114"," Detailhandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","451102","45","4",24,16,-33.3333333333333,"-2"
"115"," Instandhaltung und Reparatur von Automobilen","452001","45","4",544,459,-15.625,"-1"
"116"," Reparatur und Lackieren von Carrosserien","452002","45","4",209,168,-19.6172248803828,"-1"
"117"," Grosshandel mit Automobilteilen und -zubehör","453100","45","4",79,86,8.86075949367089,"1"
"118"," Detailhandel mit Automobilteilen und -zubehör","453200","45","4",26,31,19.2307692307692,"1"
"119"," Handel mit Motorrädern, Kraftradteilen und -zubehör, Instandhaltung und Reparatur von Motorrädern","454000","45","4",59,49,-16.9491525423729,"-1"
"120"," Handelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen","461400","46","4",15,12,-20,"-1"
"121"," Handelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren","461700","46","4",8,16,100,"2"
"122"," Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt","461900","46","4",37,39,5.40540540540539,"1"
"123"," Grosshandel mit Getreide, Rohtabak, Saatgut und Futtermitteln","462100","46","4",21,15,-28.5714285714286,"-2"
"124"," Grosshandel mit Obst, Gemüse und Kartoffeln","463100","46","4",9,5,-44.4444444444444,"-2"
"125"," Grosshandel mit Fleisch und Fleischwaren","463200","46","4",48,57,18.75,"1"
"126"," Grosshandel mit Wein und Spirituosen","463401","46","4",30,21,-30,"-2"
"127"," Grosshandel mit sonstigen Getränken","463402","46","4",23,24,4.34782608695652,"0"
"128"," Grosshandel mit Tabakwaren","463500","46","4",245,159,-35.1020408163265,"-2"
"129"," Grosshandel mit sonstigen Nahrungs- und Genussmitteln","463800","46","4",142,108,-23.943661971831,"-2"
"130"," Grosshandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt","463900","46","4",41,46,12.1951219512195,"1"
"131"," Grosshandel mit Textilien","464100","46","4",83,76,-8.43373493975904,"-1"
"132"," Grosshandel mit Bekleidung","464201","46","4",305,319,4.59016393442624,"0"
"133"," Grosshandel mit Schuhen","464202","46","4",17,18,5.88235294117647,"1"
"134"," Grosshandel mit elektrischen Haushaltsgeräten","464301","46","4",89,16,-82.0224719101124,"-2"
"135"," Grosshandel mit Geräten der Unterhaltungselektronik","464302","46","4",17,8,-52.9411764705882,"-2"
"136"," Grosshandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln","464400","46","4",34,32,-5.88235294117647,"-1"
"137"," Grosshandel mit kosmetischen Erzeugnissen und Körperpflegemitteln","464500","46","4",46,61,32.6086956521739,"2"
"138"," Grosshandel mit pharmazeutischen Erzeugnissen","464601","46","4",1152,1603,39.1493055555556,"2"
"139"," Grosshandel mit medizinischen, chirurgischen und orthopädischen Erzeugnissen","464602","46","4",243,263,8.23045267489713,"1"
"140"," Grosshandel mit Möbeln, Teppichen, Lampen und Leuchten","464700","46","4",28,22,-21.4285714285714,"-2"
"141"," Grosshandel mit Uhren","464801","46","4",226,192,-15.0442477876106,"-1"
"142"," Grosshandel mit Schreibwaren, Büchern und Zeitungen","464901","46","4",71,14,-80.2816901408451,"-2"
"143"," Grosshandel mit Sportartikeln","464903","46","4",29,24,-17.2413793103448,"-1"
"144"," Grosshandel mit Geschenkartikeln und Souvenirs","464905","46","4",47,37,-21.2765957446808,"-2"
"145"," Grosshandel mit sonstigen Gebrauchs- und Verbrauchsgütern a. n. g.","464906","46","4",15,6,-60,"-2"
"146"," Grosshandel mit Datenverarbeitungsgeräten und peripheren Einheiten","465101","46","4",32,43,34.375,"2"
