,"Name","NOGA6","NOGA2","NOGA1","y2015","y2020","DeltaP5b","Wgroup","Cluster"
88," Sonstiger Tiefbau a. n. g.","429900","42","4",44,36,"-18.18181818","1","Bau"
89," Abbrucharbeiten","431100","43","4",8,13,"62.5","4","Bau"
90," Elektroinstallation","432100","43","4",2661,2234,"-16.04659902","1","Bau"
91," Sanitärinstallation","432201","43","4",54,55,"1.851851852","2","Bau"
92," Sanitärinstallation und Spenglerei","432202","43","4",280,252,"-10","1","Bau"
93," Sanitär- und Heizungsinstallation","432203","43","4",310,290,"-6.451612903","1","Bau"
94," Installation von Heizungs-, Lüftungs- und Klimaanlagen","432204","43","4",568,621,"9.330985915","3","Bau"
95," Dämmung gegen Kälte, Wärme, Schall und Erschütterung","432901","43","4",118,83,"-29.66101695","0","Bau"
96," Sonstige Bauinstallation","432902","43","4",139,79,"-43.16546763","0","Bau"
97," Anbringen von Stuckaturen, Gipserei und Verputzerei","433100","43","4",291,277,"-4.810996564","2","Bau"
98," Einbau von Fenster, Türen und Innenausbau, Einbauküchen, Einbaumöbel","433200","43","4",148,107,"-27.7027027","0","Bau"
99," Verlegen von Fussboden","433301","43","4",195,182,"-6.666666667","1","Bau"
100," Verlegen von Fliesen und Platten","433302","43","4",204,199,"-2.450980392","2","Bau"
101," Malerei","433401","43","4",765,668,"-12.67973856","1","Bau"
102," Malerei und Gipserei ohne ausgeprägten Schwerpunkt","433402","43","4",177,205,"15.81920904","3","Bau"
103," Glaserei","433403","43","4",44,49,"11.36363636","3","Bau"
104," Sonstiger Ausbau a. n. g.","433900","43","4",15,14,"-6.666666667","1","Bau"
105," Holzbau, Zimmerei","439101","43","4",34,56,"64.70588235","4","Bau"
106," Dachdeckerei","439102","43","4",115,97,"-15.65217391","1","Bau"
107," Bauspenglerei","439103","43","4",13,17,"30.76923077","4","Bau"
108," Abdichtungen","439901","43","4",43,34,"-20.93023256","0","Bau"
109," Gerüstbau","439902","43","4",74,80,"8.108108108","3","Bau"
110," Maurerarbeiten","439903","43","4",78,60,"-23.07692308","0","Bau"
111," Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.","439905","43","4",302,83,"-72.51655629","0","Bau"
